1000,S;For_S;S;S_S;S;S_S;S;S_S;S;S_S;S;C;Train;Worker;Down;50;S;C;Idle;S;C;MoveToUnit;Enemy;LessHealthy;S;S_S;S;If_B_then_S_else_S;B;is_Type;Worker;S;S_S;S;C;MoveToUnit;Enemy;Strongest;S;C;Attack;Strongest;S;Empty;S;If_B_then_S_else_S;B;is_Type;Base;S;Empty;S;If_B_then_S;B;is_Type;Heavy;S;C;MoveToUnit;Ally;Closest;S;If_B_then_S_else_S;B;is_Type;Heavy;S;C;MoveToUnit;Ally;Closest;S;C;MoveToUnit;Ally;Closest
2000,S;For_S;S;S_S;S;If_B_then_S_else_S;B;is_Type;Worker;S;S_S;S;C;Attack;Strongest;S;C;MoveToUnit;Enemy;Strongest;S;S_S;S;For_S;S;C;Harvest;4;S;C;MoveToUnit;Enemy;Strongest;S;For_S;S;C;Train;Worker;Left;100
3000,S;For_S;S;S_S;S;If_B_then_S_else_S;B;is_Type;Worker;S;S_S;S;C;Attack;Strongest;S;C;MoveToUnit;Enemy;Strongest;S;S_S;S;For_S;S;C;Harvest;4;S;C;MoveToUnit;Enemy;Strongest;S;For_S;S;C;Train;Worker;Left;100
14000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
15000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
16000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
17000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
18000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
19000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
20000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
21000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
22000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
23000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
24000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
25000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
26000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
27000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
28000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
29000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
30000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
31000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
32000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
33000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
34000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
35000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
36000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
37000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
38000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
39000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
40000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
41000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
42000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
43000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
44000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
45000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
46000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
47000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
48000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
49000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
50000,S;For_S;S;S_S;S;S_S;S;C;Idle;S;S_S;S;For_S;S;If_B_then_S;B;HasNumberOfWorkersHarvesting;4;S;If_B_then_S;B;CanAttack;S;C;Attack;Weakest;S;S_S;S;C;Harvest;8;S;S_S;S;C;MoveToUnit;Enemy;Weakest;S;C;Attack;Strongest;S;For_S;S;C;Train;Worker;Right;25
