16000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
17000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
18000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
19000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
20000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
21000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
22000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
23000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
24000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
25000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
26000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
27000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
28000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
29000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
30000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
31000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
32000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
33000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
34000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
35000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
36000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
37000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
38000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
39000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
40000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
41000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
42000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
43000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
44000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
45000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
46000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
47000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
48000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
49000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
50000,S;S_S;S;For_S;S;C;Harvest;4;S;For_S;S;S_S;S;For_S;S;S_S;S;C;Train;Worker;Right;25;S;C;Attack;Closest;S;C;MoveToUnit;Enemy;Closest
